id,person_id,house,type,constituency_id,start_date,end_date
aa667457-8c4c-498b-9f92-ab53a11a9518,a8121307-35c2-43b5-af3c-096dd476ff5f,Commons,NULL,462fad85-0354-4e82-b088-8f67b8bf10ac,2010-05-06,2015-05-07
91bb9a55-c53c-43da-81a8-ac4b34c9a975,a8121307-35c2-43b5-af3c-096dd476ff5f,Commons,NULL,462fad85-0354-4e82-b088-8f67b8bf10ac,2015-05-07,2017-06-08
43009b58-98eb-475c-9da7-438395872f07,a8121307-35c2-43b5-af3c-096dd476ff5f,Commons,NULL,462fad85-0354-4e82-b088-8f67b8bf10ac,2017-06-08,2019-12-12
70654e58-c857-4ee0-81cc-f73d27de0e24,a8121307-35c2-43b5-af3c-096dd476ff5f,Commons,NULL,462fad85-0354-4e82-b088-8f67b8bf10ac,2019-12-12,NULL
397ffac4-1a0d-4fed-a3b1-0594aa698aef,02544679-80cd-4299-901a-479ff806e429,Commons,NULL,032221bd-5476-4320-8f89-f7d3f33b734a,2015-05-07,2017-06-08
49ec8ed2-4ffc-464d-9ecb-b067600f26d8,02544679-80cd-4299-901a-479ff806e429,Commons,NULL,032221bd-5476-4320-8f89-f7d3f33b734a,2017-06-08,2019-12-12
543531ec-496a-4554-826b-9d9a78119abd,02544679-80cd-4299-901a-479ff806e429,Commons,NULL,032221bd-5476-4320-8f89-f7d3f33b734a,2019-12-12,NULL
1b8a7d3b-80a2-4a11-a317-a65252f479d6,dee30ee6-6055-4f9d-8727-d1ddbc423a75,Commons,NULL,5a71c7c8-7832-4a59-a541-01ea4a09bd58,1966-03-31,1970-06-18
35643870-52c9-454d-8ab4-b58a56794e04,dee30ee6-6055-4f9d-8727-d1ddbc423a75,Commons,NULL,5a71c7c8-7832-4a59-a541-01ea4a09bd58,1970-06-18,1974-02-28
eceb41c0-1665-4b31-b97e-ab1d31020387,dee30ee6-6055-4f9d-8727-d1ddbc423a75,Commons,NULL,0faf090d-4541-482f-bbca-ccb72a40844d,1974-02-28,1974-10-10
f2428545-cd5a-48ff-94f7-5fefd89aca10,dee30ee6-6055-4f9d-8727-d1ddbc423a75,Commons,NULL,0faf090d-4541-482f-bbca-ccb72a40844d,1974-10-10,1979-05-03
27303cc6-7d8f-4842-884c-fa496307046f,dee30ee6-6055-4f9d-8727-d1ddbc423a75,Commons,NULL,0faf090d-4541-482f-bbca-ccb72a40844d,1979-05-03,1983-06-09
47456638-0e40-47b5-a520-e4693d5d2fcc,dee30ee6-6055-4f9d-8727-d1ddbc423a75,Commons,NULL,c907e322-0ba4-4b4b-ae12-d7ba5afe804c,1983-06-09,1987-06-11
78c65299-fe6a-4b90-a62f-de00bb02487a,dee30ee6-6055-4f9d-8727-d1ddbc423a75,Commons,NULL,c907e322-0ba4-4b4b-ae12-d7ba5afe804c,1987-06-11,1992-04-09
9452f77e-cf65-4b69-9e02-fa407fe00f1b,dee30ee6-6055-4f9d-8727-d1ddbc423a75,Commons,NULL,c907e322-0ba4-4b4b-ae12-d7ba5afe804c,1992-04-09,1997-05-01
2bdaefa9-6c5d-4e29-9606-54f7f8cd72df,dee30ee6-6055-4f9d-8727-d1ddbc423a75,Lords,Life peer,NULL,1997-09-23,2016-03-24
0f824564-e1d1-4974-b431-257cd2839610,c683728f-5d17-424a-9f66-163cda46a1bc,Commons,NULL,6f345498-680f-44da-90bd-66d26dade872,2001-06-07,2005-05-05
8e4cc2b5-d79a-43d6-8249-28dd3b571786,c683728f-5d17-424a-9f66-163cda46a1bc,Commons,NULL,6f345498-680f-44da-90bd-66d26dade872,2005-05-05,2010-05-06
77e10f9b-eea1-4e12-a697-fd56f4bb2b31,c683728f-5d17-424a-9f66-163cda46a1bc,Lords,Life peer,NULL,2010-06-23,NULL
